Date,Average Close,Unemployment Rate,Federal Funds Rate,Housing Starts,Personal Savings Rate,Average Hourly Earnings,Money Supply M1,Long-Term Interest Rates,Average Weekly Hours,Personal Consumption Expenditures,Personal Income
2021-06,4238.489546,4.4,0.65,1252,12.5,24.15,4260.9,598.4,41.2,13793,18577.4
2021-07,4363.712798,13.2,0.05,1053,22.7,24.99,16245.5,621.3,39.4,13251.4,19877.2
2021-08,4453.965931,11,0.08,1254,18.4,24.79,16574.1,625.2,39.9,14027.1,19920.9
2021-09,4445.543318,8.4,0.1,1401,14,24.82,16898.8,735.6,41,14428.4,19594.2
2021-10,4460.707078,7.8,0.09,1463,13.2,24.81,17170.5,710.7,41.2,14655,19744.9
2021-11,4667.386649,6.7,0.09,1553,12.1,24.93,17612.9,699.4,41.3,14675.8,19610.4
2021-12,4674.772772,6.7,0.09,1635,12,25.16,17803,662.4,41.4,14801.8,19775.2
2022-01,4573.815454,6.2,0.08,1407,12.8,25.25,18322.3,666,41.4,14948.2,20254
2022-02,4435.980494,6.1,0.07,1668,26.1,25.34,18595.7,626.4,41.6,15657.6,24471.8
2022-03,4391.265264,5.8,0.06,1607,9.9,25.68,19266.3,659.9,41.6,15890,20899.7
2022-04,4391.295996,5.9,0.08,1638,8.7,25.81,19327.2,690,41.4,16108.5,20934.3
2022-05,4040.360003,5.1,0.09,1595,8.7,26.12,19721,658.4,41.4,16305.6,21207.3
2022-06,3898.946684,4.7,0.08,1563,7.2,26.3,19863.2,663,41.4,16398.9,21051.2
2022-07,3911.729492,4.1,0.08,1704,6.2,26.57,20246.8,653.2,41.5,16741.6,21297.7
2022-08,4158.563084,3.9,0.08,1757,6.1,26.76,20436.2,650.8,41.4,16799.2,21352.9
2022-09,3850.520496,3.8,0.08,1742,4.1,26.97,20577.9,656.9,41.5,16999.7,21426.2
2022-10,3726.050956,3.6,0.2,1678,3.4,27.11,20691,703.6,41.5,17203.6,21510.5
